split_type,split_id,similarity_bin,n,positive_fraction,brier,balanced_accuracy,roc_auc,average_precision
scaffold,17,0.30-0.50,53,0.3584905660377358,0.2210849442693411,0.6772445820433437,0.7492260061919505,0.5795498456539646
scaffold,17,0.50-0.70,12,0.16666666666666666,0.011036535529891743,1.0,1.0,1.0
scaffold,17,>=0.70,3,0.3333333333333333,0.08602782531826329,1.0,1.0,1.0
scaffold,18,<0.30,43,0.5348837209302325,0.2799960442116931,0.5847826086956521,0.6630434782608696,0.7044404722547819
scaffold,18,0.30-0.50,30,0.3333333333333333,0.16488499459416256,0.75,0.845,0.6954670329670329
scaffold,18,0.50-0.70,10,0.2,0.08643619626105266,0.875,1.0,1.0
scaffold,18,>=0.70,4,0.0,0.06421127839485198,0.75,,
scaffold,19,<0.30,71,0.5492957746478874,0.23332633760315666,0.6614583333333333,0.7107371794871795,0.7977917772659641
scaffold,19,0.30-0.50,43,0.2558139534883721,0.1930984640893469,0.6931818181818181,0.7528409090909091,0.5828091100818373
scaffold,19,0.50-0.70,11,0.0,0.03509598927099511,0.9090909090909091,,
scaffold,19,>=0.70,2,0.0,0.0016046401777080465,1.0,,
scaffold,20,<0.30,45,0.5111111111111111,0.28857759475355843,0.5553359683794465,0.6324110671936759,0.6764951521513626
scaffold,20,0.30-0.50,27,0.48148148148148145,0.2163337486838703,0.6565934065934066,0.7637362637362638,0.8175397066701413
scaffold,20,0.50-0.70,4,0.25,0.005692666139407583,1.0,1.0,1.0
scaffold,20,>=0.70,4,0.0,0.0013740415100255605,1.0,,
scaffold,21,<0.30,45,0.35555555555555557,0.21259690032512088,0.6368534482758621,0.7413793103448276,0.6252392152839722
scaffold,21,0.30-0.50,22,0.22727272727272727,0.2055321068526057,0.5117647058823529,0.611764705882353,0.4526984126984127
scaffold,21,0.50-0.70,9,0.2222222222222222,0.10413421933128254,0.9285714285714286,1.0,1.0
scaffold,21,>=0.70,5,0.0,0.0007005590177045606,1.0,,
scaffold,22,<0.30,49,0.42857142857142855,0.19716386297496558,0.7202380952380952,0.7891156462585034,0.7792665288388883
scaffold,22,0.30-0.50,20,0.35,0.1508932099308736,0.7087912087912087,0.8901098901098901,0.8044217687074828
scaffold,22,0.50-0.70,9,0.2222222222222222,0.013282063308996736,1.0,1.0,1.0
scaffold,22,>=0.70,3,0.0,0.05060630461134888,1.0,,
scaffold,23,<0.30,49,0.4897959183673469,0.21542703269067529,0.675,0.76,0.7344765921577503
scaffold,23,0.30-0.50,26,0.3076923076923077,0.22182586225603387,0.6527777777777778,0.7847222222222222,0.7350407268170426
scaffold,23,0.50-0.70,8,0.25,0.1206204081250083,0.6666666666666667,0.9166666666666667,0.8333333333333333
scaffold,23,>=0.70,5,0.0,3.5710634113871745e-05,1.0,,
scaffold,24,<0.30,78,0.3974358974358974,0.21336775089165727,0.7216884008236102,0.703500343170899,0.658267377998511
scaffold,24,0.30-0.50,40,0.375,0.16349427816366732,0.8066666666666666,0.8640000000000001,0.7997683408209724
scaffold,24,0.50-0.70,9,0.1111111111111111,0.08368348019765381,0.9375,1.0,1.0
scaffold,24,>=0.70,5,0.0,0.0009151398682359726,1.0,,
